epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,12832.9,1.5277,0.8808,0.95702,0.79164,0.64994,0.75329,0.43681,1.43489,0.81422,0.94003,0.0072775,0.0072775,0.0072775
112,12957.4,1.52735,0.88046,0.95747,0.79141,0.65029,0.75333,0.43707,1.43388,0.81356,0.93978,0.00725275,0.00725275,0.00725275
113,13066.7,1.52792,0.88121,0.9571,0.79181,0.65013,0.75342,0.43705,1.43391,0.81321,0.93971,0.007228,0.007228,0.007228
114,13180.6,1.52649,0.88051,0.95737,0.79184,0.65009,0.75347,0.43707,1.43359,0.81286,0.93966,0.00720325,0.00720325,0.00720325
115,13302.3,1.52593,0.87906,0.95699,0.79165,0.65016,0.75339,0.43663,1.43477,0.81326,0.93982,0.0071785,0.0071785,0.0071785
116,13426.9,1.52654,0.88042,0.95725,0.7917,0.65007,0.75337,0.43624,1.4359,0.81342,0.93998,0.00715375,0.00715375,0.00715375
117,13535.1,1.52604,0.87909,0.95678,0.79152,0.65048,0.75352,0.43644,1.43516,0.813,0.93989,0.007129,0.007129,0.007129
118,13648.2,1.52431,0.87861,0.95657,0.79134,0.65074,0.75355,0.43643,1.43513,0.81292,0.93984,0.00710425,0.00710425,0.00710425
119,13754.6,1.52509,0.87838,0.95637,0.79218,0.65043,0.75373,0.43644,1.43519,0.81264,0.93963,0.0070795,0.0070795,0.0070795
120,13867,1.52598,0.87994,0.95689,0.7914,0.65092,0.75374,0.43652,1.43491,0.81247,0.93951,0.00705475,0.00705475,0.00705475
121,13981.7,1.52447,0.87866,0.95651,0.79132,0.65089,0.75371,0.43623,1.43548,0.81264,0.93954,0.00703,0.00703,0.00703
122,14107.7,1.52479,0.87949,0.95669,0.79153,0.65053,0.7536,0.43577,1.4369,0.81322,0.93969,0.00700525,0.00700525,0.00700525
123,14217,1.52264,0.87712,0.95625,0.79209,0.65053,0.75379,0.43619,1.43579,0.81251,0.9395,0.0069805,0.0069805,0.0069805
124,14327.3,1.52241,0.87783,0.95579,0.79158,0.65085,0.75381,0.43632,1.43562,0.81246,0.93951,0.00695575,0.00695575,0.00695575
125,14437.7,1.52225,0.87767,0.95598,0.79161,0.65099,0.75382,0.43612,1.43588,0.81219,0.93946,0.006931,0.006931,0.006931
126,14569.2,1.5223,0.87747,0.95621,0.79181,0.65099,0.75391,0.4367,1.43387,0.81135,0.93912,0.00690625,0.00690625,0.00690625
127,14675.4,1.5216,0.87581,0.95619,0.79169,0.65106,0.75382,0.43665,1.43399,0.81137,0.93911,0.0068815,0.0068815,0.0068815
128,14797.2,1.52063,0.87772,0.9564,0.79188,0.65104,0.75392,0.43676,1.43364,0.81112,0.93905,0.00685675,0.00685675,0.00685675
129,14915.5,1.5224,0.87783,0.95667,0.79252,0.65092,0.75415,0.43711,1.43258,0.81056,0.93885,0.006832,0.006832,0.006832
130,15026.8,1.5201,0.87635,0.95587,0.79199,0.65136,0.75421,0.437,1.43272,0.81054,0.93887,0.00680725,0.00680725,0.00680725
131,15138.6,1.52137,0.87756,0.95624,0.79264,0.65116,0.75437,0.43737,1.43172,0.81005,0.93874,0.0067825,0.0067825,0.0067825
132,15252.6,1.51953,0.8754,0.9558,0.79284,0.65096,0.75427,0.43702,1.43278,0.81035,0.9389,0.00675775,0.00675775,0.00675775
133,15365.9,1.51924,0.87556,0.95589,0.7924,0.65143,0.75438,0.43736,1.43141,0.8096,0.93872,0.006733,0.006733,0.006733
134,15478.3,1.52113,0.87727,0.95583,0.79236,0.6514,0.75429,0.43716,1.43217,0.80963,0.93884,0.00670825,0.00670825,0.00670825
135,15599.1,1.51943,0.8758,0.95578,0.79226,0.65182,0.75455,0.43784,1.43111,0.80893,0.93871,0.0066835,0.0066835,0.0066835
136,15712.6,1.51985,0.87559,0.95528,0.79216,0.65201,0.75466,0.43795,1.43107,0.80886,0.93868,0.00665875,0.00665875,0.00665875
137,15831,1.5194,0.87629,0.95598,0.79273,0.65183,0.75467,0.43797,1.43093,0.80883,0.93861,0.006634,0.006634,0.006634
138,15939.1,1.52044,0.87707,0.95577,0.79241,0.6521,0.75471,0.43808,1.43016,0.80834,0.93843,0.00660925,0.00660925,0.00660925
139,16058.1,1.51776,0.87481,0.95532,0.79269,0.65208,0.75485,0.43848,1.429,0.80789,0.93825,0.0065845,0.0065845,0.0065845
140,16187.8,1.51757,0.87539,0.95505,0.79338,0.6518,0.755,0.43871,1.42832,0.80768,0.93809,0.00655975,0.00655975,0.00655975
141,16309.2,1.51891,0.87536,0.95527,0.79323,0.65179,0.75493,0.43852,1.42886,0.80773,0.93816,0.006535,0.006535,0.006535
142,16433.9,1.51871,0.87533,0.9555,0.79285,0.65221,0.75499,0.43854,1.42921,0.80787,0.93818,0.00651025,0.00651025,0.00651025
143,16557.1,1.51559,0.87418,0.95521,0.79254,0.65241,0.75503,0.43848,1.42914,0.80774,0.93803,0.0064855,0.0064855,0.0064855
144,16680.9,1.51653,0.8741,0.95515,0.79286,0.65237,0.75518,0.43875,1.42853,0.80727,0.93791,0.00646075,0.00646075,0.00646075
145,16800.7,1.51783,0.87571,0.95514,0.79287,0.65231,0.75519,0.43852,1.42918,0.80714,0.9379,0.006436,0.006436,0.006436
146,16926.9,1.51692,0.87443,0.95522,0.7928,0.65262,0.75543,0.43859,1.42881,0.80688,0.9378,0.00641125,0.00641125,0.00641125
147,17045,1.51639,0.87411,0.95422,0.79261,0.65237,0.75515,0.43774,1.43086,0.80718,0.93792,0.0063865,0.0063865,0.0063865
148,17161,1.51673,0.87416,0.95497,0.79249,0.65222,0.75507,0.43752,1.43163,0.80756,0.93801,0.00636175,0.00636175,0.00636175
149,17270.5,1.51489,0.87354,0.9543,0.79231,0.65242,0.75498,0.43691,1.43254,0.80744,0.93797,0.006337,0.006337,0.006337
150,17399.1,1.51444,0.87241,0.95464,0.79215,0.65278,0.75518,0.43743,1.43154,0.80705,0.93791,0.00631225,0.00631225,0.00631225
151,17511.5,1.51631,0.87472,0.9548,0.79246,0.65292,0.75539,0.43775,1.4306,0.80681,0.9378,0.0062875,0.0062875,0.0062875
